antecedents,consequents,ant_unit,con_unit,support,confidence,lift,metric,antecedent support,consequent support,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1812,6209,2874903000.0,9630806627.0,0.9999805497394731,0.9999805497394731,0.9999805497394731,cosine,,,,,,,,,
1093,2418,9811363528.0,9811363528.0,0.9999399638327718,0.9999399638327718,0.9999399638327718,cosine,,,,,,,,,
5592,1812,1841014603.0,2874903000.0,0.9999377155359748,0.9999377155359748,0.9999377155359748,cosine,,,,,,,,,
5592,6209,1841014603.0,9630806627.0,0.9999261681226767,0.9999261681226767,0.9999261681226767,cosine,,,,,,,,,
2294,2188,4190988310.0,9628223555.0,0.9998924210152514,0.9998924210152514,0.9998924210152514,cosine,,,,,,,,,
57,5255,9628223555.0,9811363528.0,0.9998916772784185,0.9998916772784185,0.9998916772784185,cosine,,,,,,,,,
1010,3949,9811363528.0,9811363528.0,0.9998180857953479,0.9998180857953479,0.9998180857953479,cosine,,,,,,,,,
2188,5643,9628223555.0,9628223555.0,0.9997728335967557,0.9997728335967557,0.9997728335967557,cosine,,,,,,,,,
2797,2964,2874903000.0,9811363528.0,0.9997502358708046,0.9997502358708046,0.9997502358708046,cosine,,,,,,,,,
4935,984,9628223555.0,9811363528.0,0.9997231767644829,0.9997231767644829,0.9997231767644829,cosine,,,,,,,,,
2854,2762,9628223555.0,9811363528.0,0.9997008448913037,0.9997008448913037,0.9997008448913037,cosine,,,,,,,,,
1040,4550,9630806627.0,9811363528.0,0.9996361654882365,0.9996361654882365,0.9996361654882365,cosine,,,,,,,,,
4613,1124,9628223555.0,9811363528.0,0.9995815662708304,0.9995815662708304,0.9995815662708304,cosine,,,,,,,,,
2574,2586,2874903000.0,9811363528.0,0.9995791211981823,0.9995791211981823,0.9995791211981823,cosine,,,,,,,,,
6366,4479,9628223555.0,9811363528.0,0.9995685740127098,0.9995685740127098,0.9995685740127098,cosine,,,,,,,,,
3422,1040,2874903000.0,9630806627.0,0.9995344870327929,0.9995344870327929,0.9995344870327929,cosine,,,,,,,,,
2534,3973,9628223555.0,9630806627.0,0.9994971701453229,0.9994971701453229,0.9994971701453229,cosine,,,,,,,,,
3677,4594,9628223555.0,9628223555.0,0.9994414569099368,0.9994414569099368,0.9994414569099368,cosine,,,,,,,,,
1243,1124,9630806627.0,9811363528.0,0.9994332320071371,0.9994332320071371,0.9994332320071371,cosine,,,,,,,,,
2294,766,4190988310.0,9811363528.0,0.9994037344358951,0.9994037344358951,0.9994037344358951,cosine,,,,,,,,,
6242,6452,2874903000.0,9657930100.0,0.9994022977460075,0.9994022977460075,0.9994022977460075,cosine,,,,,,,,,
1610,5533,9811363528.0,9811363528.0,0.9993984573951789,0.9993984573951789,0.9993984573951789,cosine,,,,,,,,,
2188,766,9628223555.0,9811363528.0,0.9993982445559022,0.9993982445559022,0.9993982445559022,cosine,,,,,,,,,
714,2383,9630806627.0,9630806627.0,0.9993928765506747,0.9993928765506747,0.9993928765506747,cosine,,,,,,,,,
5779,5533,9628223555.0,9811363528.0,0.9993735921337621,0.9993735921337621,0.9993735921337621,cosine,,,,,,,,,
5467,884,9628223555.0,9811363528.0,0.9993576351535957,0.9993576351535957,0.9993576351535957,cosine,,,,,,,,,
2294,5643,4190988310.0,9628223555.0,0.999354739699935,0.999354739699935,0.999354739699935,cosine,,,,,,,,,
3422,228,2874903000.0,4190988310.0,0.9993472341363248,0.9993472341363248,0.9993472341363248,cosine,,,,,,,,,
4538,2964,9630806627.0,9811363528.0,0.9993097618059524,0.9993097618059524,0.9993097618059524,cosine,,,,,,,,,
5862,6542,9628223555.0,9628223555.0,0.9993008884358768,0.9993008884358768,0.9993008884358768,cosine,,,,,,,,,
4479,3973,9628223555.0,9630806627.0,0.999229620628188,0.999229620628188,0.999229620628188,cosine,,,,,,,,,
3169,5721,1841014603.0,9811363528.0,0.999213115394743,0.999213115394743,0.999213115394743,cosine,,,,,,,,,
6,5726,9628223555.0,9811363528.0,0.9992125694610522,0.9992125694610522,0.9992125694610522,cosine,,,,,,,,,
2896,5832,9630806627.0,9630806627.0,0.9992076203918064,0.9992076203918064,0.9992076203918064,cosine,,,,,,,,,
1817,6432,9630806627.0,9811363528.0,0.9991889455673124,0.9991889455673124,0.9991889455673124,cosine,,,,,,,,,
6542,6154,9628223555.0,9630806627.0,0.9991726681632354,0.9991726681632354,0.9991726681632354,cosine,,,,,,,,,
4578,5255,9811363528.0,9811363528.0,0.9991704981566906,0.9991704981566906,0.9991704981566906,cosine,,,,,,,,,
