date,unit_id,n_keywords,cost,adopted_all,total_all,adopted_high,total_high,adoption_rate_all,adoption_rate_high
2025-02-01,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-02-02,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-02-03,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-02-04,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-02-05,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-02-07,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-01,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-01,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-01,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-01,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-01,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-01,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-01,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-01,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-08-01,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-01,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-01,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-02,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-02,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-02,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-02,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-02,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-02,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-02,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-02,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-08-02,9700005700,1,17.6325,0,100,0,100,0.0,0.0
2025-08-02,9773660250,1,264.525,0,100,0,100,0.0,0.0
2025-08-02,9811363528,1,311.7825,0,100,0,100,0.0,0.0
2025-08-03,1841014603,1,38.1375,0,100,0,100,0.0,0.0
2025-08-03,2526158329,1,12.66,0,100,0,100,0.0,0.0
2025-08-03,2874903000,1,28.63,0,100,0,100,0.0,0.0
2025-08-03,4190988309,1,30.54625,0,100,0,100,0.0,0.0
2025-08-03,4190988310,1,29.35875,0,100,0,100,0.0,0.0
2025-08-03,8878077181,1,539.87625,0,100,0,100,0.0,0.0
2025-08-03,9628223555,1,300.1025,0,100,0,100,0.0,0.0
2025-08-03,9630806627,1,358.77375,0,100,0,100,0.0,0.0
2025-08-03,9657930100,1,4474.6687,0,100,0,100,0.0,0.0
2025-08-03,9700005700,1,17.6325,0,100,0,100,0.0,0.0
