日期,推广单元,关键词,投入金额,期望竞价,期望展现量,期望展现位,期望点击量,期望浏览量,期望注册量
2026-09-14,9630806627,584,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-11,9630806627,1853,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-16,9630806627,5696,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-12,9811363528,5167,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-17,1841014603,6149,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-15,8878077181,5778,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-17,4190988309,6082,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-15,1841014603,3169,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-11,9811363528,4817,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-11,8878077181,1048,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-14,8878077181,1048,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-11,4190988309,4177,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-15,4190988309,5257,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-14,9811363528,6488,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-11,9628223555,6162,610.07844,0.7901624952620356,710.5932544306227,5150.317624740736,782.3143220460137,2900.121702107057,81.86765579218714
2026-09-12,9630806627,2390,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-13,4190988309,1651,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-12,1841014603,5353,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-13,8878077181,3989,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-17,8878077181,1607,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-11,1841014603,5973,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-16,9811363528,6269,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-16,1841014603,2892,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-13,1841014603,2789,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-16,4190988309,2706,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-14,1841014603,5973,610.07844,0.8504899109090402,717.3258990784757,3573.886767819786,719.1058474998047,2792.260447944894,125.90368567090343
2026-09-16,8878077181,1048,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-13,9630806627,6119,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-14,4190988309,4134,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-12,4190988309,5649,610.07844,0.8605723708981949,560.0780359656538,8026.468596385498,670.8334011120223,3163.640162874305,110.50672685654153
2026-09-15,9630806627,2152,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-15,9811363528,2467,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-12,8878077181,1607,610.07844,0.7358591902456847,643.8154806091486,1371.068942648028,827.8273887787473,2849.3215382814883,162.53695759475812
2026-09-17,9628223555,4706,610.07844,0.7901624952620356,710.5932544306227,5150.317624740736,782.3143220460137,2900.121702107057,81.86765579218714
2026-09-12,9628223555,3379,610.07844,0.7901624952620356,710.5932544306227,5150.317624740736,782.3143220460137,2900.121702107057,81.86765579218714
2026-09-17,9630806627,6133,610.07844,0.8777746205856279,552.1812001445213,9849.678731405837,687.6495234518809,2321.695966291799,127.34132569876975
2026-09-15,9628223555,4560,305.03922,0.7901624952620356,355.29662721531133,2575.158812370368,391.15716102300684,1450.0608510535285,40.93382789609357
2026-09-17,9811363528,24,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
2026-09-13,9811363528,848,610.07844,0.5606942170441503,606.0021670159321,6331.118619043404,1089.7206353000286,4133.7025720112415,151.9233798154759
